id,year,brand,trans,plate,mileage,color,price
39,2020,Toyota - Vios,AT GAS,CAU 6835,"85,082",Alumina Jade Metallic,"458,000.00"
40,2022,Toyota - Vios,MT GAS,NFE 2068,"4,701",Blackish Red Mica,"559,000.00"
41,2017,Ford - Ecosport,AT GAS,NAW 2369,"86,707",Mars Red,"468,000.00"
42,2016,Honda - City,AT GAS,ABI 3469,"93,890",Taffeta White,"372,000.00"
43,2016,Honda - City,AT GAS,NDX 2309,"20,252",Taffeta White,"438,000.00"
44,2018,Honda - City,AT GAS,NAY 8723,"108,787",Tafetta White,"483,000.00"
45,2015,Honda - Civic,AT GAS,DAS 4615,"76,481",White Orchid Pearl,"470,000.00"
46,2017,Hyundai - Accent,AT GAS,NAF 9900,"57,900",Phantom Balck,"320,000.00"
47,2014,Mitsubishi - Adventure,MT DSL,AJA 5543,"79,291",Silver,"363,000.00"
48,2017,Mitsubishi - Adventure,MT DSL,AAD 5564,"203,800",Virgil Gray,"433,000.00"
49,2015,MITSUBISHI - L300 DE LUXE 2.5,MT DSL,AXA 2575,"129,189",WHITE,"402,000.00"
50,2018,Mitsubishi - L300 FB Exceed,MT DSL,NAZ 2023,"83,881",Polar White,"444,000.00"
51,2018,Mitsubishi - Strada,MT DSL,NBP 8951,"70,816",Silver Metallic,"743,000.00"
52,2019,MITSUBISHI MIRAGE G4 GLS,AT GAS,B4 W325,"231,534",Majestic red,"341,000.00"
53,2019,Nissan - Almera,MT GAS,GAM 1052,"61,059",Bluish Black,"315,000.00"
54,2017,Suzuki - Alto,MT GAS,NBC 5984,"81,868",Green,"183,000.00"
55,2018,Toyota - Fortuner,AT DSL,NAZ 2361,"105,140",Avant Garde Bronze Metallic,"960,000.00"
56,2020,TOYOTA - RUSH 1.5 G A/T,AT GAS,CAT 5899,"87,512",Dark Red m,"703,000.00"
57,2016,Toyota - Vios,MT GAS,NDZ 1491,"46,758",RED MICA METALLIC,"282,000.00"
