,brand,generic_text,year,mileage,color,plate,price,location,model,transmission,fuel,converted_mileage
259,Nissan,"Navara VL 4x4, A/T, DSL",2018,156T,Brilliant Silver,CS# F0 I369 (WITHOUT CONDUCTION STICKER),618000,Bacolod,Navara VL 4x4,automatic,dsl,156000
260,Nissan,"Sylphy B17 1.6L, A/T, Gas",2020,35T,Aspen White,FAI 4149,618000,"Bolilao, Iloilo",Sylphy B17 1.6L,automatic,gas,35000
261,Nissan,"Terra EL 4x2 2.5, M/T, DSL",2020,12T (per checklist),Brilliant Silver,FAF 1593,1002000,"Bolilao, Iloilo",Terra EL 4x2 2.5,manual,dsl,12000
262,Nissan,"Terra VE 4x2 2.5, A/T, DSL",2019,34T,Pearl White,NBT 6735,1044000,MOA - PASAY,Terra VE 4x2 2.5,automatic,dsl,34000
263,Nissan,"Terra VE 4x2 2.5, A/T, DSL",2020,59T (per checklist),Galaxy Black,GAN 8278,1081000,"Bolilao, Iloilo",Terra VE 4x2 2.5,automatic,dsl,59000
264,Nissan,"Terra VL 4x2 2.5, A/T, DSL",2019,57T,Flare Metallic Gold,NDQ 1342,1188000,"Howmart, QC",Terra VL 4x2 2.5,automatic,dsl,57000
265,Nissan,"Urvan NV350 15-Seater 2.5, M/T, DSL",2019,110T,Alpine White,NEC 3403,682000,"Gateway Bus Park, Gen. Trias, Cavite",Urvan NV350 15-Seater 2.5,manual,dsl,110000
266,Nissan,"Urvan NV350 18 Str 2.5L, M/T, DSL",2019,89T,Brilliant Silver,NEB 3169,714000,SM City Novaliches,Urvan NV350 18 Str 2.5L,manual,dsl,89000
267,Sinotruk,"Howo A7 10 Wheeler 6x4, M/T, DSL",2019,20T,White,NEG 6462,1683000,"Howmart, QC",Howo A7 10 Wheeler 6x4,manual,dsl,20000
268,Sinotruk,"Howo A7 8x4  Dumptruck, M/T, DSL",2019,155T (per checklist),Silver Gray,NFX 5753 (VIRTUAL PLATE),2226000,"Howmart, QC",Howo A7 8x4  Dumptruck,manual,dsl,155000
269,Subaru,"BRZ 2.0 CVT, A/T, Gas",2020,14T,Blue Pearl,FAG 2148     CS# R0 I427,1460000,"Bolilao, Iloilo",BRZ 2.0 CVT,automatic,gas,14000
270,Subaru,"Forester 2.0 XT CVT, A/T, Gas",2018,35T (per checklist),Crystal Black Silica,NBK 5539,1065000,MOA - PASAY,Forester 2.0 XT CVT,automatic,gas,35000
271,Subaru,"Forester 2.0i-S Eyesight, A/T, Gas",2020,55T,Crystal White Pearl,FAL 5382,1193000,Bacolod,Forester 2.0i-S Eyesight,automatic,gas,55000
272,Subaru,"Outback 3.6R-S Eyesight CVT, A/T, GAS",2019,28T,Crystal White Pearl,MAP 6413,1247000,Panabo City,Outback 3.6R-S Eyesight CVT,automatic,gas,28000
273,Suzuki,"Alto 800 Standard, M/T, GAS",2019,25T (per checklist),Superior White,KAD 1055,251000,Cagayan de Oro,Alto 800 Standard,manual,gas,25000
274,Suzuki,"Carry Cab & Chassis 1.5 Utility Van, M/T, Gas",2022,30T,White,NIB 3129,554000,MOA - PASAY,Carry Cab & Chassis 1.5 Utility Van,manual,gas,30000
275,Suzuki,"Celerio 1.0 CVT, A/T, GAS",2019,31T,Pearl Ablaze Red,NBO 8324,341000,"Howmart, QC",Celerio 1.0 CVT,automatic,gas,31000
276,Suzuki,"Ciaz GL, A/T, GAS",2019,9T,Pearl Pure White,FAG 3081,213000,"Bolilao, Iloilo",Ciaz GL,automatic,gas,9000
277,Suzuki,"Dzire 1.2 GL, M/T, GAS",2020,80T,White,ZAB 4694,277000,Cagayan de Oro,Dzire 1.2 GL,manual,gas,80000
278,Suzuki,"Dzire GL, A/T, GAS",2022,10T,Blue,NHB 7479,538000,MOA - PASAY,Dzire GL,automatic,gas,10000
279,Suzuki,"Ertiga GL, A/T, GAS",2019,83T,Red,ZAB 9004,512000,Panabo City,Ertiga GL,automatic,gas,83000
280,Suzuki,"Grand Vitara 2.4 GL, A/T, Gas",2017,44T (per checklist),Silver,S# UF3266 (WITHOUT PLATES),442000,Panabo City,Grand Vitara 2.4 GL,automatic,gas,44000
281,Suzuki,"Jimny 1.3 JLX AWD, A/T, Gas",2018,118T (per checklist),Silver,KAB 8012,629000,Cagayan de Oro,Jimny 1.3 JLX AWD,automatic,gas,118000
282,Suzuki,"Super Carry 0.8L, M/T, DSL",2018,127T,White,NBE 8241,213000,"Gateway Bus Park, Gen. Trias, Cavite",Super Carry 0.8L,manual,dsl,127000
283,Suzuki,"Super Carry Pick-up, M/T, DSL",2020,26T,White,FAG 2955,341000,"Bolilao, Iloilo",Super Carry Pick-up,manual,dsl,26000
284,Suzuki,"Super Carry Utility Van Non Aircon, M/T, DSL",2019,2T,Superior White,NEJ 3827,277000,MOA - PASAY,Super Carry Utility Van Non Aircon,manual,dsl,2000
285,Suzuki,"Super Carry Utility Van, M/T, DSL",2017,66T,Superior White,FAB 3920,235000,"Bolilao, Iloilo",Super Carry Utility Van,manual,dsl,66000
286,Suzuki,"Super Carry Utility Van, M/T, DSL",2018,82T,Superior White,FAD 9596,240000,"Bolilao, Iloilo",Super Carry Utility Van,manual,dsl,82000
287,Suzuki,"Swift 1.2 GL CVT, A/T, Gas",2020,43T,Silver,FAL 7727,480000,"Bolilao, Iloilo",Swift 1.2 GL CVT,automatic,gas,43000
288,Toyota,"Corolla Altis 1.6 G, M/T, GAS",2017,104T,Red Mica Metallic,BAA 5678,426000,"Howmart, QC",Corolla Altis 1.6 G,manual,gas,104000
289,Toyota,"Corolla Altis 1.6 V, A/T, Gas",2019,54T,Red Mica Metallic,GAQ 8334 (VIRTUAL PLATES),767000,MOA - PASAY,Corolla Altis 1.6 V,automatic,gas,54000
290,Toyota,"Fortuner G 4x2 2.4, A/T, DSL",2020,21T,Attitude Black Mica,GAM 9593,1332000,Cebu,Fortuner G 4x2 2.4,automatic,dsl,21000
291,Toyota,"Fortuner G 4x2 2.4L, M/T, DSL",2018,85T,Freedom White,BAB 2711,959000,MOA - PASAY,Fortuner G 4x2 2.4L,manual,dsl,85000
292,Toyota,"Fortuner G 4x2 2.4L, M/T, DSL",2018,97T,Silver Metallic,CS# A7 P887 (WITHOUT PLATES),1023000,Bacolod,Fortuner G 4x2 2.4L,manual,dsl,97000
293,Toyota,"Fortuner G 4x2 2.4L, M/T, DSL",2018,109T,Phantom Brown Metallic,NCW 1611,1018000,"Gateway Bus Park, Gen. Trias, Cavite",Fortuner G 4x2 2.4L,manual,dsl,109000
294,Toyota,"Fortuner G 4x2 2.7, A/T, GAS",2020,34T,Freedom White,CS# P6 P194 (WITHOUT PLATES),1172000,MOA - PASAY,Fortuner G 4x2 2.7,automatic,gas,34000
295,Toyota,"Fortuner V 4x4 2.8, A/T, DSL",2018,48T,White Pearl,CS# A6 M397 (WITHOUT PLATES),1310000,Bacolod,Fortuner V 4x4 2.8,automatic,dsl,48000
