Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
1092,PROMENADE,2020,HYUNDAI ACCENT GLS W/SRS 2.4L AT GAS,NGD9133,K1L093,GRAY,"45,782","352,800.00"
1093,STA. MARIA,2016,HYUNDAI ACCENT HATCH 1.6 7 DCT AT,NDE7800,MQ1736,SONIC SILVER,unavailable,"243,950.00"
"",,,HYUNDAI ACCENT HATCH 1.6 CRDI GL 7AT DCT,,,,,
1094,AXIS TOWER,2017,,NAS7427,,ORANGE,"73,011","333,200.00"
"",,,DSL,,,,,
1095,AXIS TOWER,2017,HYUNDAI ELANTRA 1.6 GL 6AT,NAH7722,MS4863,BLUE,"27,181","402,000.00"
1096,MARCELO GREEN,2016,HYUNDAI EON 0.8 GLX MT,,MQ9832,RED PASSION,"31,073","142,000.00"
1097,PROMENADE,2015,HYUNDAI EON 0.8L GL,DBZ7429,MN5915,PRISTINE BLUE,"103,744","135,000.00"
1098,AXIS TOWER,2015,HYUNDAI EON 0.8L GL M/T,ABP2872,MN7406,PRISTINE BLUE,"93,020","138,000.00"
1099,PROMENADE,2016,HYUNDAI EON 0.8L GLS MT,DCQ8351,MO8462,SLEEK SILVER,"56,816","203,000.00"
1100,SANFORD,2016,HYUNDAI EON 0.8L GLX MT,NDZ3025,MP9769,PRISTINE BLUE,unavailable,"134,000.00"
1101,SANFORD,2018,HYUNDAI EON GLX MT GAS,NAM7321,MU7033,BLUE,"73,886","221,000.00"
"",,,,,,HYPER,,
"",,,HYUNDAI GRAND STAREX 2.5 CRDI GLS 5AT DSL,,,,,
1102,AXIS TOWER,2018,,NAJ5421,MV3124,METALLIC/DARK,"95,184","985,000.00"
"",,,SWIVEL SEAT GOLD,,,,,
"",,,,,,GRAY,,
1103,ENTRATA,2017,HYUNDAI GRAND STAREX 2.5 GL 5MT DSL,NBM8533,MS5400,CREAMY WHITE,"191,475","284,400.00"
1104,THE SIGNATURE,2017,HYUNDAI GRAND STAREX 2.5 GL 5MT DSL,NAS2820,MS4027,CREAMY WHITE,"188,002","342,300.00"
"",,,HYUNDAI GRAND STAREX 2.5 TCI SUPER,,,,,
1105,THE SIGNATURE,2017,,NAY7107,MT1451,CREAMY WHITE,"87,625","346,800.00"
"",,,EXPRESS 18 STR,,,,,
"",,,HYUNDAI GRAND STAREX GLS CRDI VGT (12S) U,,,CREAMY WHITE/DARK,,
